STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,quantile,Quantile,coicop,Classification of individual consumption by purpose (COICOP),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,AT,Austria,1994,,176.2,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,AT,Austria,1999,,178.6,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,AT,Austria,2005,,155,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,AT,Austria,2010,,146,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,AT,Austria,2015,,137,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,AT,Austria,2020,,141,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,1988,,195.1,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,1994,,140.7,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,1999,,169.3,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,2005,,161,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,2010,,145,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,2015,,134,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BE,Belgium,2020,,149,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BG,Bulgaria,2005,,434,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BG,Bulgaria,2010,,410,,,,,
dataflow,ESTAT:HBS_STR_T223(1.0),Structure of consumption expenditure by income quintile and COICOP consumption purpose,A,Annual,QUINTILE1,First quintile,CP01,Food and non-alcoholic beverages,PM,Per mille,BG,Bulgaria,2015,,352,,,,,
