,"Québec Cap-and-Trade System",,,,,,,," ","China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","European Union Emissions Trading System (from 2019, download)",,,,," ","United Kingdom Emissions Trading Scheme (download)",,,,,,," ","Korean Emissions Trading System",,,,," ","Washington Cap-and-Invest Program (download)",,,,,,,,," ","California Cap-and-Trade Program (download)",,,,,,,,,," "
Date,"Exchange rate CAD/EUR","Exchange rate CAD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 4"," ","Exchange rate CNY/EUR","Exchange rate CNY/USD","Market Currency","Secondary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market"," ","Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market","Secondary Market"," ","Exchange rate GBP/EUR","Exchange rate GBP/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market"," ","Exchange rate KRW/EUR","Exchange rate KRW/USD","Market Currency","Primary Market","Secondary Market"," ","Exchange rate USD/EUR","Exchange rate USD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 5","Secondary Market"," ","Exchange rate USD/EUR","Exchange rate USD/USD","Market Currency","Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 4","Primary Stability 5","Secondary Market"," "
2013-12-03,0.685896197,0.939924712,CAD,10.75,10.75,40,45,50," ",,,,," ",1,1.37036,EUR,4.47," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2014-03-04,0.651343816,0.90032154,CAD,11.39,11.39,42.39,47.69,52.99," ",,,,," ",1,1.382252381,EUR,6.65," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2014-05-27,0.668475825,0.917960553,CAD,11.39,11.39,42.39,47.69,52.99," ",,,,," ",1,1.373214286,EUR,5.05," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2014-08-26,0.687246012,0.915143334,CAD,11.39,11.39,42.39,47.69,52.99," ",,,,," ",1,1.331609524,EUR,6.26," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2014-11-25,0.707884191,0.88288732,CAD,13.68,12.82,42.39,47.69,52.99," ",,,,," ",1,1.24722,EUR,7.05," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",0.801783166,1,USD,12.1,11.34,42.38,47.68,52.98,,," "
2015-02-18,0.704864585,0.799996634,CAD,15.14,15.01,44.96,50.58,56.2," ",,,,," ",1,1.134965,EUR,," ",,,,,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",0.881084439,1,USD,12.21,12.1,45.2,50.86,56.51,,," "
2015-05-21,0.736075688,0.820691268,CAD,15.01,14.78,44.96,50.58,56.2," ",,,,," ",1,1.114955,EUR,7.3," ",,,,,," ",,,,,,,," ",0.000821884,0.000916364,KRW,,10300," ",,,,,,,,,," ",0.896897184,1,USD,12.29,12.1,45.2,50.86,56.51,,," "
2015-08-18,0.682761656,0.760531459,CAD,16.39,15.84,44.96,50.58,56.2," ",,,,," ",1,1.113904762,EUR,8.17," ",,,,,," ",,,,,,,," ",0.00076138,0.000848104,KRW,,10300," ",,,,,,,,,," ",0.897742818,1,USD,12.52,12.1,45.2,50.86,56.51,,," "
2015-11-17,0.701371277,0.752992203,CAD,17,16.16,44.96,50.58,56.2," ",,,,," ",1,1.0736,EUR,8.49," ",,,,,," ",,,,,,,," ",0.000808568,0.000868078,KRW,,11500," ",,,,,,,,,," ",0.931445604,1,USD,12.73,12.1,45.2,50.86,56.51,,," "
2016-02-17,0.65342616,0.724842528,CAD,17.64,17.64,47.7,53.66,59.62," ",,,,," ",1,1.109295238,EUR,4.8," ",,,,,," ",,,,,,,," ",0.000740521,0.000821456,KRW,,12800," ",,,,,,,,,," ",0.901473265,1,USD,12.73,12.73,47.54,53.49,59.43,,," "
2016-05-18,0.683110431,0.772672419,CAD,16.4,16.4,47.7,53.66,59.62," ",,,,," ",1,1.131109091,EUR,," ",,,,,," ",,,,,,,," ",0.000754657,0.000853599,KRW,,19400," ",,,,,,,,,," ",0.884088023,1,USD,12.73,12.73,47.54,53.49,59.43,,," "
2016-08-16,0.686391663,0.769564427,CAD,16.45,16.45,47.7,53.66,59.62," ",,,,," ",1,1.121173913,EUR,4.78," ",,,,,," ",,,,,,,," ",0.000802319,0.000899539,KRW,,16500," ",,,,,,,,,," ",0.891922286,1,USD,12.73,12.73,47.54,53.49,59.43,,," "
2016-11-15,0.689102222,0.744158357,CAD,17.29,17.29,47.7,53.66,59.62," ",,,,," ",1,1.079895455,EUR,5.55," ",,,,,," ",,,,,,,," ",0.000797162,0.000860852,KRW,,18500," ",,,,,,,,,," ",0.926015565,1,USD,12.73,12.73,47.54,53.49,59.43,,," "
2017-02-22,0.716722464,0.762782633,CAD,17.84,17.84,50.44,56.79,63.04," ",,,,," ",1,1.064265,EUR,," ",,,,,," ",,,,,,,," ",0.000820682,0.000873423,KRW,,24000," ",,,,,,,,,," ",0.939615603,1,USD,13.57,13.57,50.69,57.04,63.37,,," "
